"Name","Asset","Asset_Address","Vault_Token","Vault_Token_Address","State","Value","Balance","Token_Per_Share","APR","Bouncer","If_Boostable","If_Experimental","If_Deprecated"
"Sushiswap Wrapped BTC/ibBTC","SLP-IBBTC-WBTC","0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907","bSLP-IBBTC-WBTC","0xEa8567d84E3e54B32176418B4e0C736b56378961","experimental",51137.9662009534,5.794132452858e-06,1.00288561201398,7.55740748921891,"badger",FALSE,TRUE,FALSE
"Quickswap Wrapped BTC/USDC","QLP-USDC-WBTC","0xF6a637525402643B0654a54bEAd2Cb9A83C8B498","bQLP-USDC-WBTC","0x6B2d4c4bb50274c5D4986Ff678cC971c0260E967","experimental",23672.9153957925,4.96570665e-10,1.00407382639209,18.4793293761062,"badger",FALSE,TRUE,FALSE
"Curve amWBTC/renBTC","crvrenBTC","0xf8a57c1d3b9629b77b6726a042ca48990A84Fb49","bcrvrenBTC","0x7B6bfB88904e4B3A6d239d5Ed8adF557B22C10FC","experimental",11978.5749774563,0.272690562616157,1.00159860431164,0.723543243439408,"badger",FALSE,TRUE,FALSE
