"leaderboard","rank","address","boost","stakeRatio","nativeBalance","nonNativeBalance"
"boost","1","0xfed1...D164","2000","1.17865398251164","3325922.82775131","2821797.47160739"
"boost","2","0x961E...E700","2000","3.82007064231549","2144759.2447099","561444.917000248"
"boost","3","0x6B9d...2353","2000","1.42576441419703","1409153.75977477","988349.650014508"
"boost","4","0xa25A...C13a","2000","1.32493462844705","612914.603040905","462599.882198942"
"boost","5","0x72b4...e9fC","2000","1375.36777834758","566561.731573578","411.93471338573"
"boost","6","0x5Fe3...8811","2000","4.67344381620483","557098.918524073","119205.224334221"
"boost","7","0xFc7e...c88c","2000","1.1136677153565","412970.482195929","370820.197534175"
"boost","8","0xCF3C...BC0e","2000","1.16786783362951","282178.077841414","241618.160647905"
"boost","9","0x1084...93Fc","2000","1.66745222122427","280451.575720253","168191.671191838"
"boost","10","0xa9ef...167f","2000","3.50283981916164","279165.976092113","79697.0431148427"
"boost","11","0x53DC...5726","2000","4.08881231671356","276094.987236211","67524.495097913"
"boost","12","0xd6Fd...Bb6f","2000","8.51433066631051","269974.479653953","31708.2446330382"
"boost","13","0xff06...7C90","2000","16.0838471990551","255965.106414736","15914.4204273324"
"boost","14","0x2B63...0924","2000","1.34757958257931","251480.532790919","186616.461129203"
"boost","15","0x108A...E05F","2000","14.0927483457423","244628.81193367","17358.4886306139"
"boost","16","0xB18f...3121","2000","11.7200551974371","189154.928588113","16139.4230147889"
"boost","17","0xB5cC...11e7","2000","1.11430339300387","161594.458782349","145018.367346736"
"boost","18","0xB4f4...B7D3","2000","1.00646429858969","159664.317058434","158638.828304356"
"boost","19","0x4C37...8011","2000","1.05819327514411","155656.507235548","147096.481230568"
"boost","20","0x18B8...5cA3","2000","1.20428476287536","152631.971605083","126740.764568555"
"boost","21","0xA204...22F2","2000","1.07254716356627","135313.729976806","126161.100018093"
"boost","22","0x01a0...0410","2000","1.01497460384251","131986.462187131","130039.177027143"
"boost","23","0x5275...f3a2","2000","1.10138102979729","131052.123271041","118988.905497275"
"boost","24","0xCba1...8A93","2000","2.65498734599827","130415.269298575","49120.8628527525"
"boost","25","0xC255...bae2","2000","1.00409827014516","121427.704733954","120932.092350283"
"boost","26","0x9D6E...6CD2","2000","1.09975207183947","117979.176151675","107277.975802619"
"boost","27","0xB24D...17fE","2000","1.29480747927628","114870.015371384","88715.9034913745"
"boost","28","0xf3E5...b7A1","2000","1.16324608500546","112995.646804924","97138.2137120138"
"boost","29","0xa817...D40c","2000","1.160124589078","112364.443974446","96855.4972735702"
"boost","30","0x4c08...dcE2","2000","5.28704081964252","110321.429084472","20866.3849680531"
"boost","31","0x7947...1506","2000","1.28159214746626","106053.987209821","82751.7454905544"
"boost","32","0x2D61...4C2F","2000","2.36140944783577","102176.013020563","43269.0794534626"
"boost","33","0x0f06...61bF","2000","1.04526243279231","101466.448036374","97072.7014127133"
"boost","34","0xc0DA...e8B3","2000","1.97039745563629","99351.044168244","50421.829303551"
"boost","35","0xd8a7...A5ED","2000","1.03514994433389","94583.1552139441","91371.4537025911"
"boost","36","0x5AaE...Cc0c","2000","2.673114492091","91675.1576106343","34295.2604094869"
"boost","37","0xaF8c...6539","2000","5.17556304897713","89409.2694672174","17275.2739404629"
"boost","38","0xb589...357A","2000","3.82113062523076","89043.3416409515","23302.878224838"
"boost","39","0xC0E7...7D2E","2000","1.16227990611526","88169.5198117585","75859.1104843679"
"boost","40","0xed6A...86Ca","2000","100.655121496811","87630.200282567","870.598524739187"
"boost","41","0x152b...e279","2000","6.45732197968954","87625.9223455891","13570.0097689417"
"boost","42","0xD2b6...226a","2000","1.59456434685795","85346.322293505","53523.2851917691"
"boost","43","0xBbfB...f921","2000","9.36082105708426","80466.2918167963","8596.07200330995"
"boost","44","0xd87E...CfA2","2000","1.04686461024184","73705.7768527383","70406.2169373659"
"boost","45","0xdc30...81de","2000","4.14220659263772","72576.2521615159","17521.1570302919"
"boost","46","0xBaEb...F69C","2000","1.82927581268469","69438.3229324048","37959.4604875333"
"boost","47","0xB5c4...891e","2000","2.16299006776812","55756.3008029356","25777.4187842054"
"boost","48","0xB943...C940","2000","298.442277906771","54031.0936439973","181.043698040919"
"boost","49","0x2580...B206","2000","1.02951686835177","52868.8108038275","51353.0301727537"
"boost","50","0xFcc5...1A48","2000","27.4051953742745","52811.5565215056","1927.06367534531"
"boost","51","0xEBaC...9070","2000","1.30330746329051","52159.2263876935","40020.6611692419"
"boost","52","0xdEE4...e8bF","2000","1.24604126623599","50514.4544077891","40539.9530309152"
"boost","53","0x4972...AFD5","2000","1.04463423064499","48103.969481652","46048.6245524915"
"boost","54","0x2fBa...4629","2000","1.0958407536735","46535.617954828","42465.6756000637"
"boost","55","0x5448...b428","2000","9.34775631937527","46373.4535127907","4960.91809931668"
"boost","56","0x4bE6...ea1f","2000","7.82928183677968","45695.1217239292","5836.43847246204"
"boost","57","0x1D10...a604","2000","1.0407748917923","45328.1973106799","43552.3547581178"
"boost","58","0x7272...cd86","2000","1.03091827096525","45108.7756760619","43755.9183365977"
"boost","59","0xe985...69E9","2000","14.3986198773425","43730.9142248993","3037.16013044513"
"boost","60","0x0d06...20B2","2000","1.08707179855615","43506.7343519558","40021.9510889173"
"boost","61","0xfCA2...3f04","2000","2.00385413576586","41641.4134662054","20780.6609887253"
"boost","62","0x5323...53DE","2000","1.80280098735172","38184.7899768284","21180.8126602599"
"boost","63","0x4500...F05E","2000","10.9781327557815","37866.4152695365","3449.25827660398"
"boost","64","0xD543...9f77","2000","1.03271220729786","37021.863442406","35849.1583432286"
"boost","65","0xD278...7D36","2000","1.08772724696775","36686.9638495465","33728.0912580048"
"boost","66","0x26b1...1A5d","2000","1.03199387907057","34676.9488202141","33601.8938905381"
"boost","67","0xd7dE...3ad4","2000","5.27966418277714","33704.427688963","6383.82035715654"
"boost","68","0x5fD0...D0a8","2000","21.3434913356282","32632.9281333549","1528.94049151563"
"boost","69","0x6B3a...5c3c","2000","43.6326671449634","32610.6542279096","747.390805140682"
"boost","70","0xC8aE...a946","2000","2.71565733653244","32323.0265919729","11902.4687530149"
"boost","71","0x0fb7...E710","2000","1.56343637357151","30885.6965582887","19755.0070347497"
"boost","72","0x42AB...c9F0","2000","1.21953647879388","29908.5895567367","24524.5550885991"
"boost","73","0x53e3...413E","2000","579.663126387904","29735.1579316422","51.2973080018614"
"boost","74","0x4a7D...efd9","2000","6.79939616431928","29162.5650145874","4288.99336203143"
"boost","75","0xba9F...A4c3","2000","5.0767776619655","28967.3457438018","5705.85274214804"
"boost","76","0xcA24...eBbe","2000","19.3592723902078","28590.4536770217","1476.83513619464"
"boost","77","0xc56A...47A5","2000","3.85240029101961","28159.8837575958","7309.69827388906"
"boost","78","0x7885...8188","2000","1.03488341940515","27899.2151350919","26958.8000077615"
"boost","79","0x246a...6c8C","2000","1.69605627347653","26314.3313831353","15515.0107898229"
"boost","80","0x9322...454D","2000","3.27467210328773","26153.1400681585","7986.49124042101"
"boost","81","0x1Db5...e812","2000","58.1596080637179","25783.4991406471","443.323124055435"
"boost","82","0x857d...F0a7","2000","1.01181975596276","25677.1720454966","25377.2195039466"
"boost","83","0xAED7...52D6","2000","4.16534328241638","24769.3312123326","5946.52818097708"
"boost","84","0x4ccC...7bca","2000","5.56940242188738","24406.7681391134","4382.2956738045"
"boost","85","0x2Df0...386c","2000","1.81306547496775","23658.333124436","13048.802401831"
"boost","86","0xe9ae...8cC5","2000","1.47298821225825","22726.3614063472","15428.7462840624"
"boost","87","0xD798...22C6","2000","1.54929529484188","22374.5990297432","14441.7911189918"
"boost","88","0x2613...2d4A","2000","8.20888158818994","22310.7184407072","2717.87553529892"
"boost","89","0x241a...D310","2000","13.5458569764499","22050.1932352817","1627.81825274082"
"boost","90","0x2e80...706D","2000","5.19035488304486","21749.2630832264","4190.32293037879"
"boost","91","0x4666...0672","2000","112.288663620353","21289.9306224189","189.6"
"boost","92","0x870e...E908","2000","2.47089317156219","21147.7061877413","8558.72946314831"
"boost","93","0x29C3...F5B1","2000","3.71948259879178","20460.1921521425","5500.81674230407"
"boost","94","0xB11e...B9Bf","2000","70.9826094481967","20265.7813501483","285.503470606252"
"boost","95","0xD28b...41F1","2000","74.1740633571737","17394.3582632213","234.507285645947"
"boost","96","0x9A3f...8ae9","2000","126.263329712687","17363.2608654443","137.516259906613"
"boost","97","0xAe9D...8A39","2000","1.82619659777656","17108.6585869418","9368.46482343251"
"boost","98","0xCa1f...d8Dc","2000","1.76393103089447","17065.2197599593","9674.53911806618"
"boost","99","0x3bDb...D49A","2000","1.01781233821307","16940.3681962636","16643.9013954234"
"boost","100","0x409b...6C04","2000","119.418403410222","16827.7169815286","140.913933706873"
"boost","101","0x4B6D...5faE","2000","6.48915177055772","16679.689324355","2570.39593372331"
"boost","102","0xdE0A...75F5","2000","2.57509609581533","16527.8792461864","6418.35435696756"
"boost","103","0x9aF9...201F","2000","8.30978409222128","16071.3997192364","1934.03336848195"
"boost","104","0x5E25...FDb3","2000","1.07118741455633","15811.4047134216","14760.6333854945"
"boost","105","0xEf43...d297","2000","3.54839146337294","15479.6133362226","4362.43111731206"
"boost","106","0xb081...90F2","2000","1.42718049612902","14595.9308236384","10227.1092291601"
"boost","107","0x3831...16c5","2000","2.73222220406033","14586.6488924019","5338.74912176793"
"boost","108","0x2459...4BB1","2000","1.78632256956242","14403.6529695534","8063.29898920875"
"boost","109","0x62ba...8B23","2000","2.40681057192861","13659.1037773597","5675.18854066462"
"boost","110","0x7e86...e3C5","2000","1.03510240280751","13577.8081941053","13117.3574298332"
"boost","111","0xBF58...C60c","2000","14.9488154758717","13068.6047312576","874.223429431661"
"boost","112","0x24d4...2662","2000","14.2136173871207","13020.7404300319","916.075062061985"
"boost","113","0x73B0...CdB3","2000","1.05569970576521","12883.5946088442","12203.8440841525"
"boost","114","0xD5Da...DAb5","2000","1.39919627832632","12304.7468997164","8794.15353679685"
"boost","115","0x626E...0C99","2000","11.0686799692411","12031.8361341646","1087.01635313335"
"boost","116","0x79bE...C143","2000","24.9026855948717","11226.9796026088","450.834090156158"
"boost","117","0x97f0...343F","2000","1.07584884504542","10423.7303196658","9688.84278462531"
"boost","118","0x3F03...1400","2000","1.36531681571781","10369.065984393","7594.62262899147"
"boost","119","0xe155...1d2D","2000","3.62998598607118","9964.29315044658","2744.99493625626"
"boost","120","0x615a...D824","2000","2.2780218193883","9840.60196421371","4319.80145249712"
"boost","121","0xD0cf...f777","2000","1.0550735705472","9599.25414050817","9098.18462757022"
"boost","122","0x059a...696A","2000","2.12691666710815","9588.69903927958","4508.26268257928"
"boost","123","0x07a1...6A0f","2000","186.23830566624","9346.65269158106","50.1865212859663"
"boost","124","0xE3c8...11e2","2000","2.10602341220308","9342.58803180566","4436.12733727045"
"boost","125","0xc388...643b","2000","1.04400922415971","9255.18413233224","8865.04057450401"
"boost","126","0x8E13...2628","2000","17.9796530884866","9202.95810197106","511.854041714756"
"boost","127","0xbC8E...572d","2000","1.11143589556085","8965.68812451421","8066.76134928135"
"boost","128","0xc446...08e3","2000","2.3813828673721","8919.86574743643","3745.66638134911"
"boost","129","0x23C2...D5AA","2000","1.77760928062373","8660.30291142808","4871.88214295851"
"boost","130","0x186E...4761","2000","2.74696695641639","8655.33352391786","3150.8691808981"
"boost","131","0x96A1...15C3","2000","16.3108825952451","8541.35379837601","523.659817210992"
"boost","132","0xA6B4...Bb41","2000","1.04558739376928","8430.69517580877","8063.11861260739"
"boost","133","0x23Dc...cc42","2000","1.29810697831391","8318.91596179464","6408.49799035819"
"boost","134","0xcf88...B88c","2000","1.0459181746149","8245.20334483785","7883.22026039341"
"boost","135","0x991F...0F22","2000","11.0091743581437","8160.23783716118","741.221600430452"
"boost","136","0x79ad...c68A","2000","3.08995860916423","8119.29911443018","2627.64008888335"
"boost","137","0x83D6...5548","2000","1.92167586946539","7917.3258461617","4120.01106532304"
"boost","138","0x4282...647f","2000","23.6766173273198","7912.99518296368","334.211389810026"
"boost","139","0x6AB8...8da8","2000","4.20089765542859","7618.6981613249","1813.58813906825"
"boost","140","0x6Bb8...189e","2000","4.48958315681802","7450.25604416217","1659.45384770254"
"boost","141","0x0b85...079d","2000","1.99224326795617","7380.64024830653","3704.68826122739"
"boost","142","0xedC9...A4AF","2000","1.11790182833949","7264.12397457821","6497.99811613887"
"boost","143","0xfcF9...6749","2000","12.3257827774444","6791.99843779238","551.039926666681"
"boost","144","0x92E2...398f","2000","1.75106177341564","6769.81252054976","3866.11861633212"
"boost","145","0x0dF6...B46A","2000","1.32946408409319","6693.95591469827","5035.07841602516"
"boost","146","0x59C6...3E70","2000","10.3210946122277","6657.89787153649","645.076721188924"
"boost","147","0x2D0e...bC6D","2000","1.03850646054076","6303.85017005048","6070.11165512442"
"boost","148","0xD699...8Bf2","2000","35.9289935446193","6288.2587750239","175.019062730345"
