"address","decimals","name","symbol","type","lookupName","lpToken","vaultToken.address","vaultToken.network","price"
"0x952F4Ac36EF204a28800AA1c1586C5261B600894","18","DIGG Rebase Option 2","DROPT-2","Contract","dropt-2",NA,NA,NA,0
"0x9a13867048e01c663ce8Ce2fE0cDAE69Ff9F35E3","18","Sushiswap: WBTC-DIGG","SLP-DIGG-WBTC","SushiswapLp",NA,"TRUE",NA,NA,93067041850949.6
"0x9BE89D2a4cd102D8Fecc6BF9dA793be995C22541","8","Binance Wrapped BTC","BBTC","Contract","binance-wrapped-btc",NA,NA,NA,44067
"0xa0246c9032bC3A600820415aE600c6388619A14D","18","Farm","FARM","Contract",NA,NA,NA,NA,167.05
"0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48","6","US Dollar Coin","USDC","Contract",NA,NA,NA,NA,0.999414
"0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2","18","Meta","MTA","Contract",NA,NA,NA,NA,0.606409
"0xAf5A1DECfa95BAF63E0084a35c62592B774A2A87","18","bHarvest crvRenWBTC","bcrvhrenBTC","Vault",NA,NA,"0x49849C98ae39Fff122806C06791Fa73784FB3675","eth",45138.7623950742
"0xb19059ebb43466C323583928285a49f558E572Fd","18","Curve.fi hBTC","crvhBTC","CurveLP",NA,NA,NA,NA,43815.6674366542
"0xb9D076fDe463dbc9f915E5392F807315Bf940334","18","bCurve.fi tBTC","bcrvtBTC","Vault",NA,NA,"0x64eda51d3Ad40D56b9dFc5554E06F94e1Dd786Fd","eth",45291.5822540503
"0xBC19712FEB3a26080eBf6f2F7849b417FdD792CA","18","BoringDAO Token","BOR","Contract",NA,NA,NA,NA,0.00897747
"0xBE08Ef12e4a553666291E9fFC24fCCFd354F2Dd2","18","bCurve.fi USD/BTC/ETH","bcrvTricrypto","Vault",NA,NA,"0xcA3d75aC011BF5aD07a98d02f18225F9bD9A6BDF","eth",1655.69961332772
"0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","Wrapped Ethereum","WETH","Contract",NA,NA,NA,NA,3074.83
"0xC17078FDd324CC473F8175Dc5290fae5f2E84714","18","bUniswap V2: WBTC-DIGG","bDIGG-WBTC","Vault",NA,NA,"0xE86204c4eDDd2f70eE00EAd6805f917671F56c52","eth",178155200031364
"0xc4AD29ba4B3c580e6D59105FFf484999997675Ff","18","Curve.fi Tricrypto2","crvTricrypto2","CurveLP",NA,NA,NA,NA,1540.361735449
"0xc4E15973E6fF2A35cC804c2CF9D2a1b817a8b40F","18","ibBTC","ibBTC","Contract",NA,NA,NA,NA,44198
