"Name","Asset","Asset_Address","Vault_Token","Vault_Token_Address","State","Value","Balance","Token_Per_Share","APR","Bouncer","If_Boostable","If_Experimental","If_Deprecated"
"Sushiswap Wrapped Ether/Sushi Helper","SLP-WETH-SUSHI","0x3221022e37029923aCe4235D812273C5A42C322d","bSLP-WETH-SUSHI","0xe774D1FB3133b037AA17D39165b8F45f444f632d","open",58615.3339056674,159.657321555829,1.0050025147069,14.0065198822773,"none",FALSE,FALSE,FALSE
"Sushiswap Wrapped BTC/Wrapped ETH","SLP-WETH-WBTC","0x515e252b2b5c22b4b2b6Df66c2eBeeA871AA4d69","bSLP-WETH-WBTC","0xFc13209cAfE8fb3bb5fbD929eC9F11a39e8Ac041","open",31014437.3650917,0.0132547673935923,1.0007537042113,2.3493667723797,"none",TRUE,FALSE,FALSE
"Curve renBTC/wBTC","crvrenWBTC","0x3E01dD8a5E1fb3481F0F589056b428Fc308AF0Fb","bcrvrenBTC","0xBA418CDdd91111F5c1D1Ac2777Fa8CEa28D71843","open",14020796.4905568,321.302113942461,1.00136446188497,23.7326957786006,"none",TRUE,FALSE,FALSE
"Curve Tricrypto","crvTricrypto","0x8e0B8c8BB9db49a46697F3a5Bb8A308e744821D2","bcrvTricrypto","0x4591890225394BF66044347653e112621AF7DDeb","open",4512138.82231998,2909.93341649934,1.00209447807064,60.722926176838,"none",TRUE,FALSE,FALSE
